STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
RAJASTHAN,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,INDIAN PASSPORT ACT,1967,0,0,11,2,16,1,0,0,0,0,27,3,30
ARUNACHAL PRADESH,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,1,0,0,0,0,0,1,0,1
BIHAR,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,1,0,0,0,0,0,1,0,1
GOA,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,INDIAN PASSPORT ACT,1967,0,0,3,0,2,0,0,0,0,0,5,0,5
HARYANA,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,INDIAN PASSPORT ACT,1967,0,0,20,9,14,10,5,1,0,0,39,20,59
KERALA,2012,INDIAN PASSPORT ACT,1967,0,0,84,1,287,1,141,1,0,0,512,3,515
MADHYA PRADESH,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,INDIAN PASSPORT ACT,1967,12,11,322,117,141,34,43,3,3,0,521,165,686
MANIPUR,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,INDIAN PASSPORT ACT,1967,0,0,5,3,1,0,0,0,0,0,6,3,9
MIZORAM,2012,INDIAN PASSPORT ACT,1967,0,0,10,4,5,2,0,0,0,0,15,6,21
NAGALAND,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,INDIAN PASSPORT ACT,1967,0,0,6,0,20,2,6,0,0,0,32,2,34
RAJASTHAN,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,2,0,0,0,1,0,3,0,3
SIKKIM,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,INDIAN PASSPORT ACT,1967,0,0,63,0,105,5,35,0,1,0,204,5,209
TRIPURA,2012,INDIAN PASSPORT ACT,1967,6,2,44,1,49,3,13,0,1,3,113,9,122
UTTAR PRADESH,2012,INDIAN PASSPORT ACT,1967,0,0,3,0,7,0,2,0,0,0,12,0,12
UTTARAKHAND,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,INDIAN PASSPORT ACT,1967,0,0,55,0,36,0,7,0,0,0,98,0,98
TOTAL (STATES),2012,INDIAN PASSPORT ACT,1967,18,13,626,137,687,58,252,5,6,3,1589,216,1805
A & N ISLANDS,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,INDIAN PASSPORT ACT,1967,0,0,0,1,1,1,0,0,0,0,1,2,3
LAKSHADWEEP,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,INDIAN PASSPORT ACT,1967,0,0,0,0,2,0,0,0,0,0,2,0,2
TOTAL (UTs),2012,INDIAN PASSPORT ACT,1967,0,0,0,1,3,1,0,0,0,0,3,2,5
TOTAL (ALL-INDIA),2012,INDIAN PASSPORT ACT,1967,18,13,626,138,690,59,252,5,6,3,1592,218,1810
ANDHRA PRADESH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,83,0,114,3,28,0,2,0,227,3,230
ARUNACHAL PRADESH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,3,0,23,0,1,0,0,0,27,0,27
BIHAR,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,233,0,480,0,258,0,38,0,1009,0,1009
CHHATTISGARH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,49,0,62,7,21,0,3,0,135,7,142
GOA,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,1,0,0,0,0,0,1,0,1
GUJARAT,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,80,0,129,2,29,0,11,0,249,2,251
HARYANA,2012,ESSENTIAL COMMODITIES ACT,1955,1,0,100,0,129,0,49,0,2,0,281,0,281
HIMACHAL PRADESH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,13,0,20,1,12,0,0,0,45,1,46
JAMMU & KASHMIR,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,118,0,243,0,91,0,0,0,452,0,452
JHARKHAND,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,47,0,97,0,29,0,0,0,173,0,173
KARNATAKA,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,110,1,210,5,124,1,10,0,454,7,461
KERALA,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,42,0,157,0,65,0,11,0,275,0,275
MADHYA PRADESH,2012,ESSENTIAL COMMODITIES ACT,1955,2,0,158,0,164,2,62,0,6,0,392,2,394
MAHARASHTRA,2012,ESSENTIAL COMMODITIES ACT,1955,3,0,935,5,1009,17,381,9,46,3,2374,34,2408
MANIPUR,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,2,0,4,1,1,0,7,1,8
MEGHALAYA,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,5,0,3,0,1,0,0,0,9,0,9
MIZORAM,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,ESSENTIAL COMMODITIES ACT,1955,2,0,32,0,116,3,23,0,0,0,173,3,176
PUNJAB,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,30,0,83,1,53,0,1,0,167,1,168
RAJASTHAN,2012,ESSENTIAL COMMODITIES ACT,1955,1,0,99,0,156,1,41,0,2,0,299,1,300
SIKKIM,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,1,0,0,0,0,0,1,0,1
TAMIL NADU,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,31,0,73,1,20,1,0,0,124,2,126
TRIPURA,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,37,0,29,0,18,0,0,0,84,0,84
UTTAR PRADESH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,853,0,1133,1,554,0,0,0,2540,1,2541
UTTARAKHAND,2012,ESSENTIAL COMMODITIES ACT,1955,1,0,7,0,58,0,15,0,1,0,82,0,82
WEST BENGAL,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,118,0,97,0,60,0,4,0,279,0,279
TOTAL (STATES),2012,ESSENTIAL COMMODITIES ACT,1955,10,0,3183,6,4589,44,1939,12,138,3,9859,65,9924
A & N ISLANDS,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,0,0,1,0,0,0,1,0,1
CHANDIGARH,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,6,0,9,0,1,0,0,0,16,0,16
D & N HAVELI,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,1,0,8,0,2,0,0,0,11,0,11
DAMAN & DIU,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,2,0,0,0,0,0,2,0,2
DELHI,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,8,0,8,0,4,0,0,0,20,0,20
LAKSHADWEEP,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,ESSENTIAL COMMODITIES ACT,1955,0,0,21,0,22,0,6,0,0,0,49,0,49
TOTAL (UTs),2012,ESSENTIAL COMMODITIES ACT,1955,0,0,36,0,49,0,14,0,0,0,99,0,99
TOTAL (ALL-INDIA),2012,ESSENTIAL COMMODITIES ACT,1955,10,0,3219,6,4638,44,1953,12,138,3,9958,65,10023
ANDHRA PRADESH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),2012,TERRORIST AND DISRUPTIVE ACTIVITIES ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,10,0,36,0,6,0,1,0,53,0,53
ARUNACHAL PRADESH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,2,0,0,0,2,0,2
CHHATTISGARH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,5,0,3,0,2,0,0,0,10,0,10
KERALA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,1,0,3,0,1,0,2,0,0,0,7,0,7
MANIPUR,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,1,0,0,0,0,0,1,0,1
PUNJAB,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,3,0,2,0,0,0,0,0,5,0,5
UTTARAKHAND,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,ANTIQUITIES AND ART TREASURES ACT,1972,1,0,21,0,43,0,12,0,1,0,78,0,78
A & N ISLANDS,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,3,0,0,0,0,0,3,0,3
LAKSHADWEEP,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,ANTIQUITIES AND ART TREASURES ACT,1972,0,0,0,0,3,0,0,0,0,0,3,0,3
TOTAL (ALL-INDIA),2012,ANTIQUITIES AND ART TREASURES ACT,1972,1,0,21,0,46,0,12,0,1,0,81,0,81
ANDHRA PRADESH,2012,DOWRY PROHIBITION ACT,1961,0,0,953,277,820,238,350,107,16,19,2139,641,2780
ARUNACHAL PRADESH,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,DOWRY PROHIBITION ACT,1961,0,0,31,0,30,2,0,0,0,0,61,2,63
BIHAR,2012,DOWRY PROHIBITION ACT,1961,1,15,934,112,760,168,533,204,39,12,2267,511,2778
CHHATTISGARH,2012,DOWRY PROHIBITION ACT,1961,0,0,13,2,11,3,7,4,0,0,31,9,40
GOA,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,DOWRY PROHIBITION ACT,1961,0,0,2,0,2,0,4,0,0,0,8,0,8
HIMACHAL PRADESH,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,DOWRY PROHIBITION ACT,1961,0,0,1,0,0,0,0,0,0,0,1,0,1
JHARKHAND,2012,DOWRY PROHIBITION ACT,1961,1,1,659,89,529,124,206,62,13,5,1408,281,1689
KARNATAKA,2012,DOWRY PROHIBITION ACT,1961,2,1,534,174,749,327,358,266,101,66,1744,834,2578
KERALA,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,5,0,1,0,0,0,6,0,6
MADHYA PRADESH,2012,DOWRY PROHIBITION ACT,1961,0,0,97,24,91,29,40,20,16,4,244,77,321
MAHARASHTRA,2012,DOWRY PROHIBITION ACT,1961,0,1,26,3,35,8,18,8,2,5,81,25,106
MANIPUR,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,DOWRY PROHIBITION ACT,1961,0,0,490,106,640,216,374,149,54,20,1558,491,2049
PUNJAB,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,DOWRY PROHIBITION ACT,1961,0,0,10,4,23,8,5,0,0,0,38,12,50
SIKKIM,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,DOWRY PROHIBITION ACT,1961,0,0,165,51,122,56,102,47,24,2,413,156,569
TRIPURA,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,DOWRY PROHIBITION ACT,1961,0,0,662,87,662,106,566,72,88,1,1978,266,2244
UTTARAKHAND,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,DOWRY PROHIBITION ACT,1961,0,0,142,13,188,32,53,38,0,0,383,83,466
TOTAL (STATES),2012,DOWRY PROHIBITION ACT,1961,4,18,4719,942,4667,1317,2617,977,353,134,12360,3388,15748
A & N ISLANDS,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,DOWRY PROHIBITION ACT,1961,0,0,6,0,5,0,0,0,0,0,11,0,11
LAKSHADWEEP,2012,DOWRY PROHIBITION ACT,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,DOWRY PROHIBITION ACT,1961,0,0,5,2,5,2,2,8,3,0,15,12,27
TOTAL (UTs),2012,DOWRY PROHIBITION ACT,1961,0,0,11,2,10,2,2,8,3,0,26,12,38
TOTAL (ALL-INDIA),2012,DOWRY PROHIBITION ACT,1961,4,18,4730,944,4677,1319,2619,985,356,134,12386,3400,15786
ANDHRA PRADESH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,14,4,20,13,8,0,2,0,44,17,61
ARUNACHAL PRADESH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,12,0,4,0,1,0,0,0,17,0,17
CHHATTISGARH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,1,0,1,0,0,0,0,0,2,0,2
GOA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,2,0,7,1,27,7,16,7,3,2,55,17,72
HARYANA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,1,0,0,1,6,1,0,0,7,2,9
