STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
UTTARAKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,4,0,12,5,3,1,0,0,19,6,25
TOTAL (STATES),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,10,0,24,6,4,1,1,0,39,7,46
A & N ISLANDS,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY(SECTION 366B IPC),2012,0,0,10,0,24,6,4,1,1,0,39,7,46
ANDHRA PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,37,0,5249,8,4526,32,1798,1,128,0,11738,41,11779
ARUNACHAL PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,60,0,26,0,0,0,0,0,86,0,86
ASSAM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,739,0,1424,0,287,0,1,0,2451,0,2451
BIHAR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,36,0,2058,2,1620,2,633,0,18,0,4365,4,4369
CHHATTISGARH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,25,0,936,0,768,1,262,2,28,0,2019,3,2022
GOA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,88,0,73,0,24,0,1,0,186,0,186
GUJARAT,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,13,1,1664,1,1633,4,588,4,37,0,3935,10,3945
HARYANA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,1,0,263,2,537,1,158,0,27,0,986,3,989
HIMACHAL PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,3,0,111,0,149,2,39,0,2,0,304,2,306
JAMMU & KASHMIR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,161,2,132,10,42,5,5,0,340,17,357
JHARKHAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,396,3,431,9,102,1,2,0,931,13,944
KARNATAKA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,1,0,249,55,317,2,147,2,13,0,727,59,786
KERALA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,9,1,31,0,9,0,3,0,52,1,53
MADHYA PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,29,1,2987,18,2639,11,962,7,75,0,6692,37,6729
MAHARASHTRA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,59,0,4206,19,3850,9,1766,6,67,1,9948,35,9983
MANIPUR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,0,0,1,0,0,0,0,0,1,0,1
MEGHALAYA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,33,0,28,0,9,0,0,0,70,0,70
MIZORAM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,18,2,10,1,2,0,0,0,30,3,33
NAGALAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,13,0,1,0,3,0,0,0,17,0,17
ODISHA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,8,0,1418,10,1263,8,525,5,57,0,3271,23,3294
PUNJAB,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,1,0,989,11,1093,1,445,1,22,0,2550,13,2563
RAJASTHAN,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,9,0,3006,4,2855,5,931,3,36,3,6837,15,6852
SIKKIM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,7,0,12,0,2,0,0,0,21,0,21
TAMIL NADU,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,38,1,5093,24,5100,10,2157,14,135,0,12523,49,12572
TRIPURA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,9,0,2,0,3,0,0,0,14,0,14
UTTAR PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,5678,5,3979,4,2129,3,39,0,11825,12,11837
UTTARAKHAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,196,0,258,0,75,0,2,0,531,0,531
WEST BENGAL,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,1790,8,1051,1,823,0,31,0,3695,9,3704
TOTAL (STATES),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,260,3,37426,175,33809,113,13921,54,729,4,86145,349,86494
A & N ISLANDS,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,2,0,0,0,3,0,0,0,5,0,5
CHANDIGARH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,0,0,4,0,1,0,0,0,5,0,5
D & N HAVELI,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,6,0,17,0,14,0,0,0,37,0,37
DAMAN & DIU,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,11,0,12,0,7,0,1,0,31,0,31
DELHI,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,3,0,238,1,208,1,55,0,8,0,512,2,514
LAKSHADWEEP,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,2,0,73,0,73,0,85,0,15,0,248,0,248
TOTAL (UTs),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,5,0,330,1,314,1,165,0,24,0,838,2,840
TOTAL (ALL-INDIA),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2012,265,3,37756,176,34123,114,14086,54,753,4,86983,351,87334
ANDHRA PRADESH,OTHER IPC CRIMES,2012,206,21,22230,2018,22349,2324,10497,1003,1159,124,56441,5490,61931
ARUNACHAL PRADESH,OTHER IPC CRIMES,2012,12,0,444,21,210,1,55,0,0,0,721,22,743
ASSAM,OTHER IPC CRIMES,2012,187,21,6514,203,8050,152,3175,60,237,0,18163,436,18599
BIHAR,OTHER IPC CRIMES,2012,438,99,27792,1951,19521,1741,10040,974,2437,78,60228,4843,65071
CHHATTISGARH,OTHER IPC CRIMES,2012,581,13,11416,365,10858,462,3671,218,759,41,27285,1099,28384
GOA,OTHER IPC CRIMES,2012,12,0,413,13,385,31,156,9,31,4,997,57,1054
GUJARAT,OTHER IPC CRIMES,2012,400,26,38960,1945,33105,1839,13574,1152,1197,127,87236,5089,92325
HARYANA,OTHER IPC CRIMES,2012,208,4,9509,159,10281,243,4510,92,465,12,24973,510,25483
HIMACHAL PRADESH,OTHER IPC CRIMES,2012,76,0,2859,284,3458,564,1311,283,241,57,7945,1188,9133
JAMMU & KASHMIR,OTHER IPC CRIMES,2012,23,5,6769,700,7349,698,3655,352,208,14,18004,1769,19773
JHARKHAND,OTHER IPC CRIMES,2012,51,2,10150,373,5660,420,2693,195,120,6,18674,996,19670
KARNATAKA,OTHER IPC CRIMES,2012,28,4,19185,1047,23273,1582,11688,691,990,82,55164,3406,58570
KERALA,OTHER IPC CRIMES,2012,104,3,42235,479,39272,642,20337,262,2135,27,104083,1413,105496
MADHYA PRADESH,OTHER IPC CRIMES,2012,2882,152,81032,3190,58853,3155,27496,1223,4189,267,174452,7987,182439
MAHARASHTRA,OTHER IPC CRIMES,2012,470,40,24245,1854,19718,1742,7968,893,1243,191,53644,4720,58364
MANIPUR,OTHER IPC CRIMES,2012,0,0,218,10,221,14,63,9,10,1,512,34,546
MEGHALAYA,OTHER IPC CRIMES,2012,20,1,332,8,196,2,44,0,1,0,593,11,604
MIZORAM,OTHER IPC CRIMES,2012,10,0,161,9,87,6,52,0,1,0,311,15,326
NAGALAND,OTHER IPC CRIMES,2012,1,0,178,1,120,2,32,2,0,0,331,5,336
ODISHA,OTHER IPC CRIMES,2012,156,4,11500,1088,10641,1061,3846,416,342,14,26485,2583,29068
PUNJAB,OTHER IPC CRIMES,2012,43,0,4732,279,4888,397,2715,161,190,3,12568,840,13408
RAJASTHAN,OTHER IPC CRIMES,2012,813,36,40097,2589,30710,3010,14345,1054,1445,136,87410,6825,94235
SIKKIM,OTHER IPC CRIMES,2012,0,0,40,12,40,20,17,3,10,0,107,35,142
TAMIL NADU,OTHER IPC CRIMES,2012,373,34,49348,3810,43306,3239,18676,1226,1998,143,113701,8452,122153
TRIPURA,OTHER IPC CRIMES,2012,6,0,607,85,585,98,215,73,15,1,1428,257,1685
UTTAR PRADESH,OTHER IPC CRIMES,2012,103,17,65635,600,46596,637,26850,428,2593,11,141777,1693,143470
UTTARAKHAND,OTHER IPC CRIMES,2012,8,0,1091,73,1454,58,286,20,27,1,2866,152,3018
WEST BENGAL,OTHER IPC CRIMES,2012,146,20,25830,2105,26957,1156,10527,744,386,14,63846,4039,67885
TOTAL (STATES),OTHER IPC CRIMES,2012,7357,502,503522,25271,428143,25296,198494,11543,22429,1354,1159945,63966,1223911
A & N ISLANDS,OTHER IPC CRIMES,2012,0,2,150,20,99,26,26,2,2,5,277,55,332
CHANDIGARH,OTHER IPC CRIMES,2012,32,0,476,25,582,11,170,4,7,0,1267,40,1307
D & N HAVELI,OTHER IPC CRIMES,2012,7,0,70,2,41,5,10,0,0,0,128,7,135
DAMAN & DIU,OTHER IPC CRIMES,2012,0,0,24,4,17,1,5,1,0,1,46,7,53
DELHI,OTHER IPC CRIMES,2012,339,1,9238,247,5470,224,1615,93,114,9,16776,574,17350
LAKSHADWEEP,OTHER IPC CRIMES,2012,0,0,8,0,10,0,1,0,2,0,21,0,21
PUDUCHERRY,OTHER IPC CRIMES,2012,25,3,881,74,670,42,213,15,39,2,1828,136,1964
TOTAL (UTs),OTHER IPC CRIMES,2012,403,6,10847,372,6889,309,2040,115,164,17,20343,819,21162
TOTAL (ALL-INDIA),OTHER IPC CRIMES,2012,7760,508,514369,25643,435032,25605,200534,11658,22593,1371,1180288,64785,1245073
ANDHRA PRADESH,TOTAL COGNIZABLE IPC CRIMES,2012,2263,68,101965,7936,84371,8791,32044,4333,4076,548,224719,21676,246395
ARUNACHAL PRADESH,TOTAL COGNIZABLE IPC CRIMES,2012,72,0,1669,49,596,21,76,0,0,0,2413,70,2483
ASSAM,TOTAL COGNIZABLE IPC CRIMES,2012,928,51,26560,517,33298,437,10230,112,662,0,71678,1117,72795
BIHAR,TOTAL COGNIZABLE IPC CRIMES,2012,2756,332,113494,7723,84769,6816,38937,3753,5636,354,245592,18978,264570
CHHATTISGARH,TOTAL COGNIZABLE IPC CRIMES,2012,2093,87,31204,1373,24787,1560,9573,764,1725,155,69382,3939,73321
GOA,TOTAL COGNIZABLE IPC CRIMES,2012,92,3,1524,71,1093,91,365,35,69,11,3143,211,3354
GUJARAT,TOTAL COGNIZABLE IPC CRIMES,2012,1798,108,77490,4893,60911,5368,24871,3500,2780,565,167850,14434,182284
HARYANA,TOTAL COGNIZABLE IPC CRIMES,2012,963,22,28324,694,22880,1068,9298,604,1151,104,62616,2492,65108
HIMACHAL PRADESH,TOTAL COGNIZABLE IPC CRIMES,2012,219,8,5822,509,5998,987,2149,506,418,110,14606,2120,16726
JAMMU & KASHMIR,TOTAL COGNIZABLE IPC CRIMES,2012,74,7,13884,1277,16416,1431,6270,564,395,40,37039,3319,40358
JHARKHAND,TOTAL COGNIZABLE IPC CRIMES,2012,306,20,26654,1365,16640,1272,6577,492,408,36,50585,3185,53770
KARNATAKA,TOTAL COGNIZABLE IPC CRIMES,2012,425,15,55716,3936,59564,5955,30922,3462,4234,606,150861,13974,164835
KERALA,TOTAL COGNIZABLE IPC CRIMES,2012,905,11,82418,1986,78222,2931,36669,1312,4649,241,202863,6481,209344
MADHYA PRADESH,TOTAL COGNIZABLE IPC CRIMES,2012,5970,277,154952,6800,109733,6846,48429,3067,7189,594,326273,17584,343857
MAHARASHTRA,TOTAL COGNIZABLE IPC CRIMES,2012,5931,287,136694,10016,92038,11871,37771,6836,6631,1597,279065,30607,309672
MANIPUR,TOTAL COGNIZABLE IPC CRIMES,2012,4,0,794,34,673,45,191,31,22,3,1684,113,1797
MEGHALAYA,TOTAL COGNIZABLE IPC CRIMES,2012,97,2,1113,20,640,9,97,2,4,0,1951,33,1984
MIZORAM,TOTAL COGNIZABLE IPC CRIMES,2012,95,11,899,42,446,23,188,10,7,0,1635,86,1721
NAGALAND,TOTAL COGNIZABLE IPC CRIMES,2012,25,0,607,11,294,9,59,2,3,0,988,22,1010
ODISHA,TOTAL COGNIZABLE IPC CRIMES,2012,914,28,40604,2503,34103,2932,12885,1071,1118,91,89624,6625,96249
PUNJAB,TOTAL COGNIZABLE IPC CRIMES,2012,238,7,17186,1223,17250,1686,8044,654,328,16,43046,3586,46632
RAJASTHAN,TOTAL COGNIZABLE IPC CRIMES,2012,2356,83,77194,4643,57826,5445,24911,2452,2570,353,164857,12976,177833
SIKKIM,TOTAL COGNIZABLE IPC CRIMES,2012,73,9,225,16,200,22,78,4,10,0,586,51,637
TAMIL NADU,TOTAL COGNIZABLE IPC CRIMES,2012,1577,43,94646,6262,80594,6669,35511,2861,3963,288,216291,16123,232414
TRIPURA,TOTAL COGNIZABLE IPC CRIMES,2012,121,18,2964,294,2516,301,832,129,79,6,6512,748,7260
UTTAR PRADESH,TOTAL COGNIZABLE IPC CRIMES,2012,883,55,206449,4612,127285,4096,61612,2252,5427,140,401656,11155,412811
UTTARAKHAND,TOTAL COGNIZABLE IPC CRIMES,2012,162,13,4169,165,5128,227,1044,77,116,9,10619,491,11110
WEST BENGAL,TOTAL COGNIZABLE IPC CRIMES,2012,694,69,66862,4717,64407,7789,26641,4593,1727,223,160331,17391,177722
TOTAL (STATES),TOTAL COGNIZABLE IPC CRIMES,2012,32034,1634,1372082,73687,1082678,84698,466274,43478,55397,6090,3008465,209587,3218052
A & N ISLANDS,TOTAL COGNIZABLE IPC CRIMES,2012,10,2,342,26,203,31,53,5,6,5,614,69,683
CHANDIGARH,TOTAL COGNIZABLE IPC CRIMES,2012,130,4,1673,51,1469,35,312,10,18,0,3602,100,3702
D & N HAVELI,TOTAL COGNIZABLE IPC CRIMES,2012,18,0,293,5,158,9,40,1,4,1,513,16,529
DAMAN & DIU,TOTAL COGNIZABLE IPC CRIMES,2012,10,0,222,13,91,4,33,6,5,3,361,26,387
DELHI,TOTAL COGNIZABLE IPC CRIMES,2012,1513,28,23329,589,11753,549,2578,198,213,25,39386,1389,40775
LAKSHADWEEP,TOTAL COGNIZABLE IPC CRIMES,2012,0,0,13,0,13,0,2,0,2,0,30,0,30
PUDUCHERRY,TOTAL COGNIZABLE IPC CRIMES,2012,78,4,2971,160,1788,172,542,50,88,5,5467,391,5858
TOTAL (UTs),TOTAL COGNIZABLE IPC CRIMES,2012,1759,38,28843,844,15475,800,3560,270,336,39,49973,1991,51964
TOTAL (ALL-INDIA),TOTAL COGNIZABLE IPC CRIMES,2012,33793,1672,1400925,74531,1098153,85498,469834,43748,55733,6129,3058438,211578,3270016
Andhra Pradesh,Arson,2013,4,0,298,11,359,11,116,4,16,1,793,27,820
Arunachal Pradesh,Arson,2013,0,0,7,0,10,0,0,0,0,0,17,0,17
Assam,Arson,2013,9,0,291,0,421,0,50,0,0,0,771,0,771
Bihar,Arson,2013,1,0,687,7,487,7,131,0,22,0,1328,14,1342
Chhattisgarh,Arson,2013,2,2,127,4,92,1,22,1,1,0,244,8,252
Goa,Arson,2013,0,0,5,1,13,0,4,0,2,0,24,1,25
Gujarat,Arson,2013,7,0,284,13,268,17,62,6,6,0,627,36,663
Haryana,Arson,2013,0,0,72,0,99,0,36,1,1,0,208,1,209
Himachal Pradesh,Arson,2013,0,0,27,1,44,2,20,2,0,0,91,5,96
Jammu & Kashmir,Arson,2013,1,0,86,1,125,1,24,0,1,0,237,2,239
Jharkhand,Arson,2013,1,0,108,0,77,2,14,0,0,0,200,2,202
Karnataka,Arson,2013,0,0,75,3,157,8,92,4,20,0,344,15,359
Kerala,Arson,2013,5,0,163,0,168,3,32,0,1,0,369,3,372
Madhya Pradesh,Arson,2013,6,0,472,3,358,5,107,1,9,0,952,9,961
Maharashtra,Arson,2013,21,3,622,13,562,37,263,17,34,0,1502,70,1572
Manipur,Arson,2013,0,0,1,0,1,0,1,0,0,0,3,0,3
Meghalaya,Arson,2013,2,0,96,0,46,0,10,0,1,0,155,0,155
Mizoram,Arson,2013,1,0,13,0,3,0,1,0,0,0,18,0,18
Nagaland,Arson,2013,0,0,5,0,2,0,1,0,0,0,8,0,8
Odisha,Arson,2013,5,0,160,4,233,8,101,2,1,0,500,14,514
Punjab,Arson,2013,0,0,42,1,42,0,8,0,0,0,92,1,93
Rajasthan,Arson,2013,6,0,240,10,218,7,88,3,7,0,559,20,579
Sikkim,Arson,2013,0,0,9,0,7,0,3,0,0,0,19,0,19
Tamil Nadu,Arson,2013,2,0,281,20,308,30,125,14,11,0,727,64,791
Tripura,Arson,2013,0,0,54,0,27,0,3,0,0,0,84,0,84
Uttar Pradesh,Arson,2013,1,0,430,0,331,0,186,0,19,0,967,0,967
Uttarakhand,Arson,2013,2,0,3,0,3,0,1,0,0,0,9,0,9
West Bengal,Arson,2013,2,0,185,0,234,7,73,0,0,0,494,7,501
Total (State),Arson,2013,78,5,4843,92,4695,146,1574,55,152,1,11342,299,11641
A&N Islands,Arson,2013,0,0,0,0,1,0,0,0,0,0,1,0,1
Chandigarh,Arson,2013,0,0,1,0,2,0,1,0,0,0,4,0,4
D&N Haveli,Arson,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Arson,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Arson,2013,0,0,26,0,15,0,3,0,0,0,44,0,44
Lakshadweep,Arson,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Arson,2013,0,0,5,0,2,0,2,0,0,0,9,0,9
Total (UTs),Arson,2013,0,0,32,0,20,0,6,0,0,0,58,0,58
Total (All-India),Arson,2013,78,5,4875,92,4715,146,1580,55,152,1,11400,299,11699
Andhra Pradesh,Assault on Women wih intent to outrage her Modesty,2013,133,4,3341,69,2220,65,829,17,127,1,6650,156,6806
Arunachal Pradesh,Assault on Women wih intent to outrage her Modesty,2013,0,0,67,0,13,0,1,0,0,0,81,0,81
Assam,Assault on Women wih intent to outrage her Modesty,2013,6,0,1083,4,1288,2,155,0,0,0,2532,6,2538
Bihar,Assault on Women wih intent to outrage her Modesty,2013,33,0,320,2,137,3,13,0,1,0,504,5,509
Chhattisgarh,Assault on Women wih intent to outrage her Modesty,2013,121,0,1504,7,724,5,181,2,7,0,2537,14,2551
Goa,Assault on Women wih intent to outrage her Modesty,2013,1,0,73,0,62,0,30,0,4,0,170,0,170
Gujarat,Assault on Women wih intent to outrage her Modesty,2013,55,2,1013,30,483,26,122,5,19,1,1692,64,1756
Haryana,Assault on Women wih intent to outrage her Modesty,2013,59,0,1029,8,540,9,112,2,26,0,1766,19,1785
Himachal Pradesh,Assault on Women wih intent to outrage her Modesty,2013,6,0,261,7,195,19,59,6,12,0,533,32,565
Jammu & Kashmir,Assault on Women wih intent to outrage her Modesty,2013,4,0,969,110,1040,101,496,33,55,4,2564,248,2812
Jharkhand,Assault on Women wih intent to outrage her Modesty,2013,0,0,400,3,122,0,27,0,0,0,549,3,552
Karnataka,Assault on Women wih intent to outrage her Modesty,2013,4,1,2042,225,1885,311,1032,180,195,34,5158,751,5909
Kerala,Assault on Women wih intent to outrage her Modesty,2013,15,0,2042,14,1633,38,562,27,71,4,4323,83,4406
Madhya Pradesh,Assault on Women wih intent to outrage her Modesty,2013,367,2,5915,36,2558,18,753,5,43,2,9636,63,9699
Maharashtra,Assault on Women wih intent to outrage her Modesty,2013,361,5,5167,129,3065,165,953,77,144,18,9690,394,10084
Manipur,Assault on Women wih intent to outrage her Modesty,2013,0,0,16,3,20,1,7,3,1,0,44,7,51
Meghalaya,Assault on Women wih intent to outrage her Modesty,2013,1,0,64,0,37,0,14,0,0,0,116,0,116
Mizoram,Assault on Women wih intent to outrage her Modesty,2013,3,0,33,0,43,0,11,0,0,0,90,0,90
Nagaland,Assault on Women wih intent to outrage her Modesty,2013,0,0,8,0,4,0,2,0,0,0,14,0,14
Odisha,Assault on Women wih intent to outrage her Modesty,2013,45,0,3066,126,2008,102,637,36,97,0,5853,264,6117
Punjab,Assault on Women wih intent to outrage her Modesty,2013,22,1,628,16,361,16,84,3,1,0,1096,36,1132
Rajasthan,Assault on Women wih intent to outrage her Modesty,2013,122,0,2440,84,1526,72,456,43,39,4,4583,203,4786
Sikkim,Assault on Women wih intent to outrage her Modesty,2013,0,0,16,0,13,0,0,0,0,0,29,0,29
Tamil Nadu,Assault on Women wih intent to outrage her Modesty,2013,7,0,803,34,656,69,199,36,19,0,1684,139,1823
Tripura,Assault on Women wih intent to outrage her Modesty,2013,4,1,280,1,116,0,55,0,3,0,458,2,460
Uttar Pradesh,Assault on Women wih intent to outrage her Modesty,2013,51,0,9080,4,2865,9,205,0,0,0,12201,13,12214
Uttarakhand,Assault on Women wih intent to outrage her Modesty,2013,4,0,215,1,156,0,18,0,0,0,393,1,394
West Bengal,Assault on Women wih intent to outrage her Modesty,2013,30,0,2475,1,2176,4,717,5,18,0,5416,10,5426
Total (State),Assault on Women wih intent to outrage her Modesty,2013,1454,16,44350,914,25946,1035,7730,480,882,68,80362,2513,82875
A&N Islands,Assault on Women wih intent to outrage her Modesty,2013,1,0,26,0,13,0,5,0,3,0,48,0,48
Chandigarh,Assault on Women wih intent to outrage her Modesty,2013,2,0,87,1,64,0,12,0,0,0,165,1,166
D&N Haveli,Assault on Women wih intent to outrage her Modesty,2013,0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,Assault on Women wih intent to outrage her Modesty,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Assault on Women wih intent to outrage her Modesty,2013,151,0,2732,32,918,50,204,15,25,2,4030,99,4129
Lakshadweep,Assault on Women wih intent to outrage her Modesty,2013,0,0,1,0,0,0,0,0,0,0,1,0,1
Puducherry,Assault on Women wih intent to outrage her Modesty,2013,0,0,8,0,1,0,0,0,0,0,9,0,9
Total (UTs),Assault on Women wih intent to outrage her Modesty,2013,154,0,2855,33,996,50,221,15,28,2,4254,100,4354
Total (All-India),Assault on Women wih intent to outrage her Modesty,2013,1608,16,47205,947,26942,1085,7951,495,910,70,84616,2613,87229
Andhra Pradesh,Attempt to Commit Murder,2013,42,1,1419,81,1559,72,560,40,62,2,3642,196,3838
Arunachal Pradesh,Attempt to Commit Murder,2013,0,0,19,0,21,0,4,0,0,0,44,0,44
Assam,Attempt to Commit Murder,2013,4,0,243,1,391,1,47,0,0,0,685,2,687
Bihar,Attempt to Commit Murder,2013,85,0,3487,106,2424,149,1632,68,402,3,8030,326,8356
Chhattisgarh,Attempt to Commit Murder,2013,35,1,488,24,410,19,163,15,18,5,1114,64,1178
Goa,Attempt to Commit Murder,2013,0,0,49,0,55,1,27,0,2,0,133,1,134
Gujarat,Attempt to Commit Murder,2013,31,1,997,28,803,45,325,18,22,1,2178,93,2271
Haryana,Attempt to Commit Murder,2013,36,0,754,21,671,20,317,5,52,0,1830,46,1876
Himachal Pradesh,Attempt to Commit Murder,2013,0,0,84,4,47,1,20,0,3,0,154,5,159
Jammu & Kashmir,Attempt to Commit Murder,2013,7,0,358,38,520,41,153,11,12,2,1050,92,1142
Jharkhand,Attempt to Commit Murder,2013,16,0,652,21,428,23,174,11,5,0,1275,55,1330
Karnataka,Attempt to Commit Murder,2013,27,0,1901,92,1875,198,783,99,208,18,4794,407,5201
Kerala,Attempt to Commit Murder,2013,17,0,674,2,647,5,259,6,13,4,1610,17,1627
Madhya Pradesh,Attempt to Commit Murder,2013,198,3,2834,84,2183,86,915,36,175,13,6305,222,6527
Maharashtra,Attempt to Commit Murder,2013,173,5,3915,174,2420,241,911,121,142,17,7561,558,8119
Manipur,Attempt to Commit Murder,2013,0,0,31,2,32,0,6,0,1,0,70,2,72
Meghalaya,Attempt to Commit Murder,2013,5,0,80,5,41,2,4,0,0,0,130,7,137
Mizoram,Attempt to Commit Murder,2013,0,0,7,0,11,0,1,0,0,0,19,0,19
Nagaland,Attempt to Commit Murder,2013,0,0,31,0,20,0,2,0,0,0,53,0,53
Odisha,Attempt to Commit Murder,2013,32,1,1210,80,1322,110,633,36,59,2,3256,229,3485
Punjab,Attempt to Commit Murder,2013,10,4,775,51,859,61,466,33,17,0,2127,149,2276
Rajasthan,Attempt to Commit Murder,2013,85,2,1565,72,1219,59,546,24,54,5,3469,162,3631
Sikkim,Attempt to Commit Murder,2013,0,0,6,1,2,0,1,0,0,0,9,1,10
Tamil Nadu,Attempt to Commit Murder,2013,61,1,2723,95,2841,183,1048,58,78,5,6751,342,7093
Tripura,Attempt to Commit Murder,2013,0,0,41,1,28,3,16,1,0,0,85,5,90
Uttar Pradesh,Attempt to Commit Murder,2013,39,1,7633,41,4394,49,1949,11,44,1,14059,103,14162
Uttarakhand,Attempt to Commit Murder,2013,9,0,119,1,102,1,42,1,0,0,272,3,275
West Bengal,Attempt to Commit Murder,2013,12,0,1011,43,1668,72,948,47,49,0,3688,162,3850
Total (State),Attempt to Commit Murder,2013,924,20,33106,1068,26993,1442,11952,641,1418,78,74393,3249,77642
A&N Islands,Attempt to Commit Murder,2013,0,0,1,0,2,0,1,0,0,0,4,0,4
Chandigarh,Attempt to Commit Murder,2013,4,0,39,0,32,0,24,0,2,0,101,0,101
D&N Haveli,Attempt to Commit Murder,2013,0,0,0,0,1,0,0,0,0,0,1,0,1
Daman & Diu,Attempt to Commit Murder,2013,0,0,0,0,1,0,0,0,0,0,1,0,1
Delhi UT,Attempt to Commit Murder,2013,66,1,611,8,321,7,68,7,2,1,1068,24,1092
